=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     ADDER    Jul 29 08:53:47 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                            | Latches | Gates       | Nets | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     182 (182) (0 property flop bits)   4 (4)     3394 (3394)   6920   13      1648        950             0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[128]   U1016.i_24                                      Dangerous
[129]   U1017.A1                                        Dangerous
[130]   U1017.A2                                        Dangerous
[131]   U1017.B                                         Dangerous
[132]   U1017.ZN                                        Dangerous
[133]   U1017.i_18                                      Dangerous
[134]   U1017.i_19                                      Dangerous
[135]   U1018.A1                                        Dangerous
[136]   U1018.A2                                        Dangerous
[137]   U1018.ZN                                        Dangerous
[138]   U1018.i_12                                      Dangerous
[139]   U1019.A1                                        Dangerous
[140]   U1019.A2                                        Dangerous
[141]   U1019.ZN                                        Dangerous
[142]   U1019.i_24                                      Dangerous
[143]   U1020.A1                                        Dangerous
[144]   U1020.A2                                        Dangerous
[145]   U1020.B                                         Dangerous
[146]   U1020.ZN                                        Dangerous
[147]   U1020.i_0                                       Dangerous
[148]   U1020.i_1                                       Dangerous
[149]   U1021.A1                                        Dangerous
[150]   U1021.A2                                        Dangerous
[151]   U1021.Z                                         Dangerous
[152]   U1021.i_18                                      Dangerous
[153]   U1021.i_19                                      Dangerous
[154]   U1021.i_20                                      Dangerous
[155]   U1021.i_21                                      Dangerous
[156]   U1022.I                                         Dangerous
[157]   U1022.ZN                                        Dangerous
[158]   U1023.A1                                        Dangerous
[159]   U1023.A2                                        Dangerous
[160]   U1023.B1                                        Dangerous
[161]   U1023.B2                                        Dangerous
[162]   U1023.ZN                                        Dangerous
[163]   U1023.i_0                                       Dangerous
[164]   U1023.i_1                                       Dangerous
[165]   U1023.i_2                                       Dangerous
[166]   U1024.A1                                        Dangerous
[167]   U1024.A2                                        Dangerous
[168]   U1024.ZN                                        Dangerous
[169]   U1024.i_24                                      Dangerous
[170]   U1025.A1                                        Dangerous
[171]   U1025.A2                                        Dangerous
[172]   U1025.A3                                        Dangerous
[173]   U1025.ZN                                        Dangerous
[174]   U1025.i_0                                       Dangerous
[175]   U1025.i_1                                       Dangerous
[176]   U1026.A1                                        Dangerous
[177]   U1026.A2                                        Dangerous
[178]   U1026.B                                         Dangerous
[179]   U1026.ZN                                        Dangerous
[180]   U1026.i_0                                       Dangerous
[181]   U1026.i_1                                       Dangerous
[182]   U1027.A1                                        Dangerous
[183]   U1027.A2                                        Dangerous
[184]   U1027.ZN                                        Dangerous
[185]   U1027.i_24                                      Dangerous
[186]   U1028.A1                                        Dangerous
[187]   U1028.A2                                        Dangerous
[188]   U1028.B                                         Dangerous
[189]   U1028.ZN                                        Dangerous
[190]   U1028.i_18                                      Dangerous
[191]   U1028.i_19                                      Dangerous
[192]   U1029.A1                                        Dangerous
[193]   U1029.A2                                        Dangerous
[194]   U1029.ZN                                        Dangerous
[195]   U1029.i_12                                      Dangerous
[196]   U1030.A1                                        Dangerous
[197]   U1030.A2                                        Dangerous
[198]   U1030.ZN                                        Dangerous
[199]   U1030.i_24                                      Dangerous
[200]   U1031.A1                                        Dangerous
[201]   U1031.A2                                        Dangerous
[202]   U1031.B                                         Dangerous
[203]   U1031.ZN                                        Dangerous
[204]   U1031.i_0                                       Dangerous
[205]   U1031.i_1                                       Dangerous
[206]   U1032.A1                                        Dangerous
[207]   U1032.A2                                        Dangerous
[208]   U1032.Z                                         Dangerous
[209]   U1032.i_18                                      Dangerous
[210]   U1032.i_19                                      Dangerous
[211]   U1032.i_20                                      Dangerous
[212]   U1032.i_21                                      Dangerous
[213]   U1033.I                                         Dangerous
[214]   U1033.ZN                                        Dangerous
[215]   U1034.A1                                        Dangerous
[216]   U1034.A2                                        Dangerous
[217]   U1034.B1                                        Dangerous
[218]   U1034.B2                                        Dangerous
[219]   U1034.ZN                                        Dangerous
[220]   U1034.i_0                                       Dangerous
[221]   U1034.i_1                                       Dangerous
[222]   U1034.i_2                                       Dangerous
[223]   U1035.I                                         Dangerous
[224]   U1035.ZN                                        Dangerous
[225]   U1036.A1                                        Dangerous
[226]   U1036.A2                                        Dangerous
[227]   U1036.ZN                                        Dangerous
[228]   U1036.i_24                                      Dangerous
[229]   U1037.I                                         Dangerous
[230]   U1037.ZN                                        Dangerous
[231]   U1038.A1                                        Dangerous
[232]   U1038.A2                                        Dangerous
[233]   U1038.B                                         Dangerous
[234]   U1038.ZN                                        Dangerous
[235]   U1038.i_0                                       Dangerous
[236]   U1038.i_1                                       Dangerous
[237]   U1039.A1                                        Dangerous
[238]   U1039.A2                                        Dangerous
[239]   U1039.ZN                                        Dangerous
[240]   U1039.i_12                                      Dangerous
[241]   U1040.A1                                        Dangerous
[242]   U1040.A2                                        Dangerous
[243]   U1040.ZN                                        Dangerous
[244]   U1040.i_12                                      Dangerous
[245]   U1041.A1                                        Dangerous
[246]   U1041.A2                                        Dangerous
[247]   U1041.ZN                                        Dangerous
[248]   U1041.i_24                                      Dangerous
[249]   U1042.A1                                        Dangerous
[250]   U1042.A2                                        Dangerous
[251]   U1042.B                                         Dangerous
[252]   U1042.ZN                                        Dangerous
[253]   U1042.i_0                                       Dangerous
[254]   U1042.i_1                                       Dangerous
[255]   U1043.A1                                        Dangerous
[256]   U1043.A2                                        Dangerous
[257]   U1043.Z                                         Dangerous
[258]   U1043.i_18                                      Dangerous
[259]   U1043.i_19                                      Dangerous
[260]   U1043.i_20                                      Dangerous
[261]   U1043.i_21                                      Dangerous
[262]   U1044.I                                         Dangerous
[263]   U1044.ZN                                        Dangerous
[264]   U1045.A1                                        Dangerous
[265]   U1045.A2                                        Dangerous
[266]   U1045.B1                                        Dangerous
[267]   U1045.B2                                        Dangerous
[268]   U1045.ZN                                        Dangerous
[269]   U1045.i_0                                       Dangerous
[270]   U1045.i_1                                       Dangerous
[271]   U1045.i_2                                       Dangerous
[272]   U1046.I                                         Dangerous
[273]   U1046.ZN                                        Dangerous
[274]   U1047.A1                                        Dangerous
[275]   U1047.A2                                        Dangerous
[276]   U1047.ZN                                        Dangerous
[277]   U1047.i_24                                      Dangerous
[278]   U1048.I                                         Dangerous
[279]   U1048.ZN                                        Dangerous
[280]   U1049.A1                                        Dangerous
[281]   U1049.A2                                        Dangerous
[282]   U1049.B                                         Dangerous
[283]   U1049.ZN                                        Dangerous
[284]   U1049.i_0                                       Dangerous
[285]   U1049.i_1                                       Dangerous
[286]   U1050.A1                                        Dangerous
[287]   U1050.A2                                        Dangerous
[288]   U1050.ZN                                        Dangerous
[289]   U1050.i_12                                      Dangerous
[290]   U1051.A1                                        Dangerous
[291]   U1051.A2                                        Dangerous
[292]   U1051.ZN                                        Dangerous
[293]   U1051.i_12                                      Dangerous
[294]   U1052.A1                                        Dangerous
[295]   U1052.A2                                        Dangerous
[296]   U1052.ZN                                        Dangerous
[297]   U1052.i_24                                      Dangerous
[298]   U1053.A1                                        Dangerous
[299]   U1053.A2                                        Dangerous
[300]   U1053.B                                         Dangerous
[301]   U1053.ZN                                        Dangerous
[302]   U1053.i_0                                       Dangerous
[303]   U1053.i_1                                       Dangerous
[304]   U1054.A1                                        Dangerous
[305]   U1054.A2                                        Dangerous
[306]   U1054.Z                                         Dangerous
[307]   U1054.i_18                                      Dangerous
[308]   U1054.i_19                                      Dangerous
[309]   U1054.i_20                                      Dangerous
[310]   U1054.i_21                                      Dangerous
[311]   U1055.I                                         Dangerous
[312]   U1055.ZN                                        Dangerous
[313]   U1056.A1                                        Dangerous
[314]   U1056.A2                                        Dangerous
[315]   U1056.B1                                        Dangerous
[316]   U1056.B2                                        Dangerous
[317]   U1056.ZN                                        Dangerous
[318]   U1056.i_0                                       Dangerous
[319]   U1056.i_1                                       Dangerous
[320]   U1056.i_2                                       Dangerous
[321]   U1057.A1                                        Dangerous
[322]   U1057.A2                                        Dangerous
[323]   U1057.ZN                                        Dangerous
[324]   U1057.i_12                                      Dangerous
[325]   U1058.A1                                        Dangerous
[326]   U1058.A2                                        Dangerous
[327]   U1058.B                                         Dangerous
[328]   U1058.ZN                                        Dangerous
[329]   U1058.i_0                                       Dangerous
[330]   U1058.i_1                                       Dangerous
[331]   U1059.A1                                        Dangerous
[332]   U1059.A2                                        Dangerous
[333]   U1059.ZN                                        Dangerous
[334]   U1059.i_12                                      Dangerous
[335]   U1060.A1                                        Dangerous
[336]   U1060.A2                                        Dangerous
[337]   U1060.ZN                                        Dangerous
[338]   U1060.i_12                                      Dangerous
[339]   U1061.A1                                        Dangerous
[340]   U1061.A2                                        Dangerous
[341]   U1061.ZN                                        Dangerous
[342]   U1061.i_24                                      Dangerous
