   18745 ns  	00000080_02C0006F    jal x0,0x00002C		next_pc=000000AC
   18775 ns  	000000AC_09400E93    addi x29,x0,0x094		rs1=0x00000000      new_rd=0x00000094
   18805 ns  	000000B0_305E9073    csrw x0,x29,mtvec		rs1=0x00000094
   18895 ns  	000000B4_00000093    addi x1,x0,0x000		rs1=0x00000000      new_rd=0x00000000
   18925 ns  	000000B8_00008113    addi x2,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   18955 ns  	000000BC_00008193    addi x3,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   18985 ns  	000000C0_00008213    addi x4,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19015 ns  	000000C4_00008293    addi x5,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19045 ns  	000000C8_00008313    addi x6,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19075 ns  	000000CC_00008393    addi x7,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19105 ns  	000000D0_00008413    addi x8,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19135 ns  	000000D4_00008493    addi x9,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19165 ns  	000000D8_00008513    addi x10,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19195 ns  	000000DC_00008593    addi x11,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19225 ns  	000000E0_00008613    addi x12,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19255 ns  	000000E4_00008693    addi x13,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19285 ns  	000000E8_00008713    addi x14,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19315 ns  	000000EC_00008793    addi x15,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19345 ns  	000000F0_00008813    addi x16,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19375 ns  	000000F4_00008893    addi x17,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19405 ns  	000000F8_00008913    addi x18,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19435 ns  	000000FC_00008993    addi x19,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19465 ns  	00000100_00008A13    addi x20,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19495 ns  	00000104_00008A93    addi x21,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19525 ns  	00000108_00008B13    addi x22,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19555 ns  	0000010C_00008B93    addi x23,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19585 ns  	00000110_00008C13    addi x24,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19615 ns  	00000114_00008C93    addi x25,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19645 ns  	00000118_00008D13    addi x26,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19675 ns  	0000011C_00008D93    addi x27,x1,0x000		rs1=0x00000000      new_rd=0x00000000
