   18755 ns  	00000080_02C0006F    jal x0,0x00002C		next_pc=000000AC
   20675 ns  	00000158_01FE8EB3    add x29,x29,x31		rs1=0x0EF80000      rs2=0xFFFE0000      new_rd=0x0EF60000
   20705 ns  	0000015C_FFEE18E3    bne x28,x30,0x1FF0		rs1=0x00000005      rs2=0x00000010      next_pc=0x0000014C
   20735 ns  	0000014C_01C21463    bne x4,x28,0x0008		rs1=0x00000001      rs2=0x00000005      next_pc=0x00000154
   20765 ns  	00000154_001E0E13    addi x28,x28,0x001		rs1=0x00000005      new_rd=0x00000006
   20795 ns  	00000158_01FE8EB3    add x29,x29,x31		rs1=0x0EF60000      rs2=0xFFFE0000      new_rd=0x0EF40000
   20825 ns  	0000015C_FFEE18E3    bne x28,x30,0x1FF0		rs1=0x00000006      rs2=0x00000010      next_pc=0x0000014C
   20855 ns  	0000014C_01C21463    bne x4,x28,0x0008		rs1=0x00000001      rs2=0x00000006      next_pc=0x00000154
   20885 ns  	00000154_001E0E13    addi x28,x28,0x001		rs1=0x00000006      new_rd=0x00000007
   20915 ns  	00000158_01FE8EB3    add x29,x29,x31		rs1=0x0EF40000      rs2=0xFFFE0000      new_rd=0x0EF20000
   20945 ns  	0000015C_FFEE18E3    bne x28,x30,0x1FF0		rs1=0x00000007      rs2=0x00000010      next_pc=0x0000014C
   20975 ns  	0000014C_01C21463    bne x4,x28,0x0008		rs1=0x00000001      rs2=0x00000007      next_pc=0x00000154
   21005 ns  	00000154_001E0E13    addi x28,x28,0x001		rs1=0x00000007      new_rd=0x00000008
   21035 ns  	00000158_01FE8EB3    add x29,x29,x31		rs1=0x0EF20000      rs2=0xFFFE0000      new_rd=0x0EF00000
   21065 ns  	0000015C_FFEE18E3    bne x28,x30,0x1FF0		rs1=0x00000008      rs2=0x00000010      next_pc=0x0000014C
   21095 ns  	0000014C_01C21463    bne x4,x28,0x0008		rs1=0x00000001      rs2=0x00000008      next_pc=0x00000154
   21125 ns  	00000154_001E0E13    addi x28,x28,0x001		rs1=0x00000008      new_rd=0x00000009
   21155 ns  	00000158_01FE8EB3    add x29,x29,x31		rs1=0x0EF00000      rs2=0xFFFE0000      new_rd=0x0EEE0000
   21185 ns  	0000015C_FFEE18E3    bne x28,x30,0x1FF0		rs1=0x00000009      rs2=0x00000010      next_pc=0x0000014C
   21215 ns  	0000014C_01C21463    bne x4,x28,0x0008		rs1=0x00000001      rs2=0x00000009      next_pc=0x00000154
   21245 ns  	00000154_001E0E13    addi x28,x28,0x001		rs1=0x00000009      new_rd=0x0000000A
   21275 ns  	00000158_01FE8EB3    add x29,x29,x31		rs1=0x0EEE0000      rs2=0xFFFE0000      new_rd=0x0EEC0000
   21305 ns  	0000015C_FFEE18E3    bne x28,x30,0x1FF0		rs1=0x0000000A      rs2=0x00000010      next_pc=0x0000014C
   21335 ns  	0000014C_01C21463    bne x4,x28,0x0008		rs1=0x00000001      rs2=0x0000000A      next_pc=0x00000154
   21365 ns  	00000154_001E0E13    addi x28,x28,0x001		rs1=0x0000000A      new_rd=0x0000000B
   21395 ns  	00000158_01FE8EB3    add x29,x29,x31		rs1=0x0EEC0000      rs2=0xFFFE0000      new_rd=0x0EEA0000
   21425 ns  	0000015C_FFEE18E3    bne x28,x30,0x1FF0		rs1=0x0000000B      rs2=0x00000010      next_pc=0x0000014C
   21455 ns  	0000014C_01C21463    bne x4,x28,0x0008		rs1=0x00000001      rs2=0x0000000B      next_pc=0x00000154
   21485 ns  	00000154_001E0E13    addi x28,x28,0x001		rs1=0x0000000B      new_rd=0x0000000C
   21515 ns  	00000158_01FE8EB3    add x29,x29,x31		rs1=0x0EEA0000      rs2=0xFFFE0000      new_rd=0x0EE80000
   21545 ns  	0000015C_FFEE18E3    bne x28,x30,0x1FF0		rs1=0x0000000C      rs2=0x00000010      next_pc=0x0000014C
   21575 ns  	0000014C_01C21463    bne x4,x28,0x0008		rs1=0x00000001      rs2=0x0000000C      next_pc=0x00000154
   21605 ns  	00000154_001E0E13    addi x28,x28,0x001		rs1=0x0000000C      new_rd=0x0000000D
   21635 ns  	00000158_01FE8EB3    add x29,x29,x31		rs1=0x0EE80000      rs2=0xFFFE0000      new_rd=0x0EE60000
   21665 ns  	0000015C_FFEE18E3    bne x28,x30,0x1FF0		rs1=0x0000000D      rs2=0x00000010      next_pc=0x0000014C
   21695 ns  	0000014C_01C21463    bne x4,x28,0x0008		rs1=0x00000001      rs2=0x0000000D      next_pc=0x00000154
   21725 ns  	00000154_001E0E13    addi x28,x28,0x001		rs1=0x0000000D      new_rd=0x0000000E
   21755 ns  	00000158_01FE8EB3    add x29,x29,x31		rs1=0x0EE60000      rs2=0xFFFE0000      new_rd=0x0EE40000
   21785 ns  	0000015C_FFEE18E3    bne x28,x30,0x1FF0		rs1=0x0000000E      rs2=0x00000010      next_pc=0x0000014C
