=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     DSP      Oct 23 10:20:53 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]--------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                              | Latches | Gates           | Nets   | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     3237 (3237) (0 property flop bits)   0 (0)     144107 (144107)   272240   35      54096       34030           0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[104]   MULT_STG.U3842.A2                                      Unknown
[105]   MULT_STG.U3842.Z                                       Unknown
[106]   MULT_STG.U3846.A1                                      Unknown
[107]   MULT_STG.U3846.A2                                      Unknown
[108]   MULT_STG.U3846.Z                                       Unknown
[109]   MULT_STG.U3916.A1                                      Unknown
[110]   MULT_STG.U3916.A2                                      Unknown
[111]   MULT_STG.U3916.Z                                       Unknown
[112]   MULT_STG.U3921.A1                                      Unknown
[113]   MULT_STG.U3921.A2                                      Unknown
[114]   MULT_STG.U3921.Z                                       Unknown
[115]   MULT_STG.U3948.A1                                      Unknown
[116]   MULT_STG.U3948.A2                                      Unknown
[117]   MULT_STG.U3948.Z                                       Unknown
[118]   MULT_STG.U3952.A1                                      Unknown
[119]   MULT_STG.U3952.A2                                      Unknown
[120]   MULT_STG.U3952.Z                                       Unknown
[121]   MULT_STG.U3956.A1                                      Unknown
[122]   MULT_STG.U3956.A2                                      Unknown
[123]   MULT_STG.U3956.Z                                       Unknown
[124]   MULT_STG.U3971.A1                                      Unknown
[125]   MULT_STG.U3971.A2                                      Unknown
[126]   MULT_STG.U3971.Z                                       Unknown
[127]   MULT_STG.U3975.A1                                      Unknown
[128]   MULT_STG.U3975.A2                                      Unknown
[129]   MULT_STG.U3975.Z                                       Unknown
[130]   MULT_STG.U3982.A1                                      Unknown
[131]   MULT_STG.U3982.A2                                      Unknown
[132]   MULT_STG.U3982.Z                                       Unknown
[133]   MULT_STG.U4155.A1                                      Unknown
[134]   MULT_STG.U4155.A2                                      Unknown
[135]   MULT_STG.U4155.Z                                       Unknown
[136]   MULT_STG.U4167.A1                                      Unknown
[137]   MULT_STG.U4167.A2                                      Unknown
[138]   MULT_STG.U4167.Z                                       Unknown
[139]   MULT_STG.U4225.A1                                      Unknown
[140]   MULT_STG.U4225.A2                                      Unknown
[141]   MULT_STG.U4225.Z                                       Unknown
[142]   MULT_STG.U4229.A1                                      Unknown
[143]   MULT_STG.U4229.A2                                      Unknown
[144]   MULT_STG.U4229.Z                                       Unknown
