Version("1.1")
Date("11/30/25 23:27:38")
User("g.vilarde")
Tool("ZOIX")
Info("  Type:    Fault Coverage Report")
Info("  Version: W-2024.09-SP1 (64-bit, Nov 24 2024)")
Info("  Models:  All")
Info("  Classes: All")

FunctionalBlocks{
     1 design {
           1  DSP {F:481798}
    }
}
StrobeData{
    StrobeList{"strobe1"
        Pins{
            1 "DSP.dsp_except_data[95:0]";
            2 "DSP.dsp_taken_branch[2:0]";
            3 "DSP.dsp_except_condition[2:0]";
            4 "DSP.busy_dsp[2:0]";
            5 "DSP.dsp_we_word[23:0]";
            6 "DSP.dsp_sc_read_addr[83:0]";
            7 "DSP.dsp_to_sc[23:0]";
            8 "DSP.dsp_sc_data_write_wire[767:0]";
            9 "DSP.dsp_sc_write_addr[41:0]";
            10 "DSP.dsp_sci_we[11:0]";
            11 "DSP.dsp_sci_req[11:0]";
            12 "DSP.state_DSP[5:0]";
        }
    }
}

FaultList{

 Total              ND               DD           PD             NC              NO Scope
------ --------------- ---------------- ------------ -------------- --------------- -----
    10     7  (70.00%)      3  (30.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U40561
    10     7  (70.00%)      3  (30.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U40185
    10     7  (70.00%)      3  (30.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U40184
    10     7  (70.00%)      3  (30.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U36579
    10     7  (70.00%)      3  (30.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U36314
    10     7  (70.00%)      3  (30.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U36310
     8     7  (87.50%)      1  (12.50%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U36716
    10     6  (60.00%)      4  (40.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U36729
    10     6  (60.00%)      4  (40.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U36681
    10     6  (60.00%)      4  (40.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U32003
    10     6  (60.00%)      3  (30.00%)  0   (0.00%)    1  (10.00%)     0   (0.00%) -U47701
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U51293
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U51081
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U50801
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U50483
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U50216
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U50011
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U49740
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U49398
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U49122
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U48969
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U48720
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U48476
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U47540
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U47310
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U47146
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U46794
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U46417
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U45711
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U45709
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U45707
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U45705
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U45197
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U45156
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U44963
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U44634
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U44408
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U44200
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U44041
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U44034
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U43954
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U43594
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U43275
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U43270
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U42801
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U42434
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U42398
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U42380
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U41360
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U41340
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U41223
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U41125
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U40947
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U40873
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U40595
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U40564
