Version("1.1")
Date("10/30/25 23:25:57")
User("g.vilarde")
Tool("ZOIX")
Info("  Type:    Fault Coverage Report")
Info("  Version: W-2024.09-SP1 (64-bit, Nov 24 2024)")
Info("  Models:  All")
Info("  Classes: All")

FunctionalBlocks{
     1 design {
           1  DSP {F:256933}
    }
}
StrobeData{
    StrobeList{"strobe1"
        Pins{
            1 "DSP.dsp_except_data[95:0]";
            2 "DSP.dsp_taken_branch[2:0]";
            3 "DSP.dsp_except_condition[2:0]";
            4 "DSP.busy_dsp[2:0]";
            5 "DSP.dsp_we_word[11:0]";
            6 "DSP.dsp_sc_read_addr[83:0]";
            7 "DSP.dsp_to_sc[23:0]";
            8 "DSP.dsp_sc_data_write_wire[383:0]";
            9 "DSP.dsp_sc_write_addr[41:0]";
            10 "DSP.dsp_sci_we[11:0]";
            11 "DSP.dsp_sci_req[11:0]";
            12 "DSP.state_DSP[5:0]";
        }
    }
}

FaultList{

 Total              ND               DD            PD             NC             NO Scope
------ --------------- ---------------- ------------- -------------- -------------- -----
    10     6  (60.00%)      3  (30.00%)   0   (0.00%)    0   (0.00%)    1  (10.00%) -U30671
    10     6  (60.00%)      3  (30.00%)   0   (0.00%)    0   (0.00%)    1  (10.00%) -U30572
    10     6  (60.00%)      3  (30.00%)   0   (0.00%)    0   (0.00%)    1  (10.00%) -U30458
    10     6  (60.00%)      3  (30.00%)   0   (0.00%)    0   (0.00%)    1  (10.00%) -U30384
    10     6  (60.00%)      3  (30.00%)   0   (0.00%)    0   (0.00%)    1  (10.00%) -U30314
    10     6  (60.00%)      3  (30.00%)   0   (0.00%)    0   (0.00%)    1  (10.00%) -U30162
    10     6  (60.00%)      3  (30.00%)   0   (0.00%)    0   (0.00%)    1  (10.00%) -U30141
    10     6  (60.00%)      3  (30.00%)   0   (0.00%)    0   (0.00%)    1  (10.00%) -U30064
    10     6  (60.00%)      3  (30.00%)   0   (0.00%)    0   (0.00%)    1  (10.00%) -U29895
    10     6  (60.00%)      3  (30.00%)   0   (0.00%)    0   (0.00%)    1  (10.00%) -U29838
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U30694
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U28546
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U28382
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U28091
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U27970
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U27941
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U27891
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U27841
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U27687
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U27629
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U27462
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U27381
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U27013
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U26739
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U26611
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U26419
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U26388
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U26344
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U26329
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U25966
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U25925
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U25676
