=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     DSP      May 26 09:58:51 EDT 2026   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                              | Latches | Gates         | Nets   | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     1081 (1081) (0 property flop bits)   0 (0)     43353 (44457)   100500   35      24390       15667           0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[1]     SA0          0             1418   0           52053
[2]     SA1          0             2466   0           51005
[3]     Total        0             3884   0           103058


********************************************************************************************

---[ <SA0> ]---------------------------------------------------------------------
[103]   ACCUM_STG.U691.B1                                         Unknown
[104]   ACCUM_STG.U691.X                                          Unknown
[105]   ACCUM_STG.U702.A1                                         Unknown
[106]   ACCUM_STG.U702.A2                                         Unknown
[107]   ACCUM_STG.U702.B1                                         Unknown
[108]   ACCUM_STG.U702.X                                          Unknown
[109]   ACCUM_STG.U711.A1                                         Unknown
[110]   ACCUM_STG.U711.A2                                         Unknown
[111]   ACCUM_STG.U711.B1                                         Unknown
[112]   ACCUM_STG.U711.X                                          Unknown
[113]   ACCUM_STG.U729.A1                                         Unknown
[114]   ACCUM_STG.U729.A2                                         Unknown
[115]   ACCUM_STG.U729.B1                                         Unknown
[116]   ACCUM_STG.U729.X                                          Unknown
[117]   ACCUM_STG.U742.A1                                         Unknown
[118]   ACCUM_STG.U742.A2                                         Unknown
[119]   ACCUM_STG.U742.B1                                         Unknown
[120]   ACCUM_STG.U742.X                                          Unknown
[121]   ACCUM_STG.U753.A1                                         Unknown
[122]   ACCUM_STG.U753.A2                                         Unknown
[123]   ACCUM_STG.U753.B1                                         Unknown
[124]   ACCUM_STG.U753.X                                          Unknown
[125]   ACCUM_STG.U762.A1                                         Unknown
[126]   ACCUM_STG.U762.A2                                         Unknown
[127]   ACCUM_STG.U762.B1                                         Unknown
[128]   ACCUM_STG.U762.X                                          Unknown
[129]   ACCUM_STG.U779.A1                                         Unknown
[130]   ACCUM_STG.U779.A2                                         Unknown
[131]   ACCUM_STG.U779.B1                                         Unknown
[132]   ACCUM_STG.U779.X                                          Unknown
[133]   ACCUM_STG.U791.A1                                         Unknown
[134]   ACCUM_STG.U791.A2                                         Unknown
[135]   ACCUM_STG.U791.B1                                         Unknown
[136]   ACCUM_STG.U791.X                                          Unknown
[137]   ACCUM_STG.U802.A1                                         Unknown
[138]   ACCUM_STG.U802.A2                                         Unknown
[139]   ACCUM_STG.U802.B1                                         Unknown
[140]   ACCUM_STG.U802.X                                          Unknown
[141]   ACCUM_STG.U811.A1                                         Unknown
[142]   ACCUM_STG.U811.A2                                         Unknown
[143]   ACCUM_STG.U811.B1                                         Unknown
[144]   ACCUM_STG.U811.X                                          Unknown
[145]   ACCUM_STG.U828.A1                                         Unknown
[146]   ACCUM_STG.U828.A2                                         Unknown
[147]   ACCUM_STG.U828.B1                                         Unknown
[148]   ACCUM_STG.U828.X                                          Unknown
[149]   ACCUM_STG.U841.A1                                         Unknown
[150]   ACCUM_STG.U841.A2                                         Unknown
[151]   ACCUM_STG.U841.B1                                         Unknown
[152]   ACCUM_STG.U841.X                                          Unknown
[153]   ACCUM_STG.U851.A1                                         Unknown
[154]   ACCUM_STG.U851.A2                                         Unknown
[155]   ACCUM_STG.U851.B1                                         Unknown
[156]   ACCUM_STG.U851.X                                          Unknown
[157]   ACCUM_STG.U875.A1                                         Unknown
[158]   ACCUM_STG.U875.A2                                         Unknown
[159]   ACCUM_STG.U875.B1                                         Unknown
[160]   ACCUM_STG.U875.X                                          Unknown
[161]   U3543.A1                                                  Unknown
[162]   U3543.A2                                                  Unknown
[163]   U3543.B1                                                  Unknown
[164]   U3543.X                                                   Unknown
[165]   U3584.A1                                                  Unknown
[166]   U3584.A2                                                  Unknown
[167]   U3584.B1                                                  Unknown
[168]   U3584.X                                                   Unknown
[169]   U4142.A1                                                  Unknown
[170]   U4142.A2                                                  Unknown
[171]   U4142.B1                                                  Unknown
[172]   U4142.X                                                   Unknown
[173]   U4154.A1                                                  Unknown
[174]   U4154.A2                                                  Unknown
[175]   U4154.B1                                                  Unknown
[176]   U4154.X                                                   Unknown
[177]   U4313.A1                                                  Unknown
[178]   U4313.A2                                                  Unknown
[179]   U4313.B1                                                  Unknown
[180]   U4313.X                                                   Unknown
[181]   U4920.A1                                                  Unknown
[182]   U4920.A2                                                  Unknown
[183]   U4920.B1                                                  Unknown
[184]   U4920.X                                                   Unknown
[185]   U4928.A1                                                  Unknown
[186]   U4928.A2                                                  Unknown
[187]   U4928.B1                                                  Unknown
[188]   U4928.X                                                   Unknown
[189]   U4934.A1                                                  Unknown
[190]   U4934.A2                                                  Unknown
[191]   U4934.B1                                                  Unknown
[192]   U4934.X                                                   Unknown
[193]   U4940.A1                                                  Unknown
[194]   U4940.A2                                                  Unknown
