Version("1.1")
Date("11/07/25 12:27:12")
User("g.vilarde")
Tool("ZOIX")
Info("  Type:    Fault Coverage Report")
Info("  Version: W-2024.09-SP1 (64-bit, Nov 24 2024)")
Info("  Models:  All")
Info("  Classes: All")

FunctionalBlocks{
     1 design {
           1  DSP {F:48176}
    }
}
StrobeData{
    StrobeList{"strobe1"
        Pins{
            1 "DSP.dsp_except_data[31:0]";
            2 "DSP.dsp_we_word[1:0]";
            3 "DSP.dsp_sc_read_addr[27:0]";
            4 "DSP.dsp_to_sc[7:0]";
            5 "DSP.dsp_sc_data_write_wire[63:0]";
            6 "DSP.dsp_sc_write_addr[13:0]";
            7 "DSP.dsp_sci_we[3:0]";
            8 "DSP.dsp_sci_req[3:0]";
            9 "DSP.state_DSP[1:0]";
        }
    }
}

FaultList{

Total              ND              DD             NC              NO Scope
----- --------------- --------------- -------------- --------------- -----
82242 17337  (21.08%) 36758  (44.69%) 8767  (10.66%) 19380  (23.56%) DSP
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_30_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_29_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_28_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_27_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_26_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_25_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_24_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_23_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_22_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_21_
