=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]---------------------------------------
------------------------------------------------------------------
 Num  | module     | created date             | filter            
------------------------------------------------------------------
[1]     MULTIPLIER   Jul 29 06:40:57 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]---------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                            | Latches | Gates         | Nets  | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     224 (224) (0 property flop bits)   0 (0)     26024 (26024)   42654   11      7574        4386            0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[120]   U1014.ZN                                  Dangerous
[121]   U1015.A1                                  Dangerous
[122]   U1015.A2                                  Dangerous
[123]   U1015.B1                                  Dangerous
[124]   U1015.B2                                  Dangerous
[125]   U1015.ZN                                  Dangerous
[126]   U1015.i_0                                 Dangerous
[127]   U1015.i_1                                 Dangerous
[128]   U1015.i_2                                 Dangerous
[129]   U1016.I                                   Dangerous
[130]   U1016.ZN                                  Dangerous
[131]   U1017.A1                                  Dangerous
[132]   U1017.A2                                  Dangerous
[133]   U1017.B1                                  Dangerous
[134]   U1017.B2                                  Dangerous
[135]   U1017.ZN                                  Dangerous
[136]   U1017.i_0                                 Dangerous
[137]   U1017.i_1                                 Dangerous
[138]   U1017.i_2                                 Dangerous
[139]   U1018.I                                   Dangerous
[140]   U1018.ZN                                  Dangerous
[141]   U1019.A1                                  Dangerous
[142]   U1019.A2                                  Dangerous
[143]   U1019.B1                                  Dangerous
[144]   U1019.B2                                  Dangerous
[145]   U1019.ZN                                  Dangerous
[146]   U1019.i_0                                 Dangerous
[147]   U1019.i_1                                 Dangerous
[148]   U1019.i_2                                 Dangerous
[149]   U1020.I                                   Dangerous
[150]   U1020.ZN                                  Dangerous
[151]   U1021.A1                                  Dangerous
[152]   U1021.A2                                  Dangerous
[153]   U1021.B1                                  Dangerous
[154]   U1021.B2                                  Dangerous
[155]   U1021.ZN                                  Dangerous
[156]   U1021.i_0                                 Dangerous
[157]   U1021.i_1                                 Dangerous
[158]   U1021.i_2                                 Dangerous
[159]   U1022.I                                   Dangerous
[160]   U1022.ZN                                  Dangerous
[161]   U1023.A1                                  Dangerous
[162]   U1023.A2                                  Dangerous
[163]   U1023.B1                                  Dangerous
[164]   U1023.B2                                  Dangerous
[165]   U1023.ZN                                  Dangerous
[166]   U1023.i_0                                 Dangerous
[167]   U1023.i_1                                 Dangerous
[168]   U1023.i_2                                 Dangerous
[169]   U1024.I                                   Dangerous
[170]   U1024.ZN                                  Dangerous
[171]   U1025.A1                                  Dangerous
[172]   U1025.A2                                  Dangerous
[173]   U1025.B1                                  Dangerous
[174]   U1025.B2                                  Dangerous
[175]   U1025.ZN                                  Dangerous
[176]   U1025.i_0                                 Dangerous
[177]   U1025.i_1                                 Dangerous
[178]   U1025.i_2                                 Dangerous
[179]   U1026.I                                   Dangerous
[180]   U1026.ZN                                  Dangerous
[181]   U1027.A1                                  Dangerous
[182]   U1027.A2                                  Dangerous
[183]   U1027.B1                                  Dangerous
[184]   U1027.B2                                  Dangerous
[185]   U1027.ZN                                  Dangerous
[186]   U1027.i_0                                 Dangerous
[187]   U1027.i_1                                 Dangerous
[188]   U1027.i_2                                 Dangerous
[189]   U1028.I                                   Dangerous
[190]   U1028.ZN                                  Dangerous
[191]   U1029.A1                                  Dangerous
[192]   U1029.A2                                  Dangerous
[193]   U1029.B1                                  Dangerous
[194]   U1029.B2                                  Dangerous
[195]   U1029.ZN                                  Dangerous
[196]   U1029.i_0                                 Dangerous
[197]   U1029.i_1                                 Dangerous
[198]   U1029.i_2                                 Dangerous
[199]   U1030.I                                   Dangerous
[200]   U1030.ZN                                  Dangerous
[201]   U1031.A1                                  Dangerous
[202]   U1031.A2                                  Dangerous
[203]   U1031.B1                                  Dangerous
[204]   U1031.B2                                  Dangerous
[205]   U1031.ZN                                  Dangerous
[206]   U1031.i_0                                 Dangerous
[207]   U1031.i_1                                 Dangerous
[208]   U1031.i_2                                 Dangerous
[209]   U1032.I                                   Dangerous
[210]   U1032.ZN                                  Dangerous
[211]   U1033.A1                                  Dangerous
[212]   U1033.A2                                  Dangerous
[213]   U1033.B1                                  Dangerous
[214]   U1033.B2                                  Dangerous
[215]   U1033.ZN                                  Dangerous
[216]   U1033.i_0                                 Dangerous
[217]   U1033.i_1                                 Dangerous
[218]   U1033.i_2                                 Dangerous
[219]   U1034.I                                   Dangerous
[220]   U1034.ZN                                  Dangerous
[221]   U1035.A1                                  Dangerous
[222]   U1035.A2                                  Dangerous
[223]   U1035.B1                                  Dangerous
[224]   U1035.B2                                  Dangerous
[225]   U1035.ZN                                  Dangerous
[226]   U1035.i_0                                 Dangerous
[227]   U1035.i_1                                 Dangerous
[228]   U1035.i_2                                 Dangerous
[229]   U1036.I                                   Dangerous
[230]   U1036.ZN                                  Dangerous
[231]   U1037.A1                                  Dangerous
[232]   U1037.A2                                  Dangerous
[233]   U1037.B1                                  Dangerous
[234]   U1037.B2                                  Dangerous
[235]   U1037.ZN                                  Dangerous
[236]   U1037.i_0                                 Dangerous
[237]   U1037.i_1                                 Dangerous
[238]   U1037.i_2                                 Dangerous
[239]   U1038.I                                   Dangerous
[240]   U1038.ZN                                  Dangerous
