=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]---------------------------------------
------------------------------------------------------------------
 Num  | module     | created date             | filter            
------------------------------------------------------------------
[1]     COMPARATOR   Jul 29 09:29:47 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]----------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                          | Latches | Gates       | Nets | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     78 (78) (0 property flop bits)   0 (0)     1041 (1041)   2255   11      592         312             0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[134]   U274.i_2                                  Dangerous
[135]   U275.A1                                   Dangerous
[136]   U275.A2                                   Dangerous
[137]   U275.ZN                                   Dangerous
[138]   U275.i_24                                 Dangerous
[139]   U276.A1                                   Dangerous
[140]   U276.A2                                   Dangerous
[141]   U276.B1                                   Dangerous
[142]   U276.B2                                   Dangerous
[143]   U276.ZN                                   Dangerous
[144]   U276.i_0                                  Dangerous
[145]   U276.i_1                                  Dangerous
[146]   U276.i_2                                  Dangerous
[147]   U277.I                                    Dangerous
[148]   U277.ZN                                   Dangerous
[149]   U278.A1                                   Dangerous
[150]   U278.A2                                   Dangerous
[151]   U278.ZN                                   Dangerous
[152]   U278.i_24                                 Dangerous
[153]   U279.I                                    Dangerous
[154]   U279.ZN                                   Dangerous
[155]   U280.A1                                   Dangerous
[156]   U280.A2                                   Dangerous
[157]   U280.B1                                   Dangerous
[158]   U280.B2                                   Dangerous
[159]   U280.ZN                                   Dangerous
[160]   U280.i_0                                  Dangerous
[161]   U280.i_1                                  Dangerous
[162]   U280.i_2                                  Dangerous
[163]   U281.I                                    Dangerous
[164]   U281.ZN                                   Dangerous
[165]   U282.I                                    Dangerous
[166]   U282.ZN                                   Dangerous
[167]   U283.A1                                   Dangerous
[168]   U283.A2                                   Dangerous
[169]   U283.B1                                   Dangerous
[170]   U283.B2                                   Dangerous
[171]   U283.ZN                                   Dangerous
[172]   U283.i_0                                  Dangerous
[173]   U283.i_1                                  Dangerous
[174]   U283.i_2                                  Dangerous
[175]   U284.A1                                   Dangerous
[176]   U284.A2                                   Dangerous
[177]   U284.ZN                                   Dangerous
[178]   U284.i_24                                 Dangerous
[179]   U285.I                                    Dangerous
[180]   U285.ZN                                   Dangerous
[181]   U286.A1                                   Dangerous
[182]   U286.A2                                   Dangerous
[183]   U286.B1                                   Dangerous
[184]   U286.B2                                   Dangerous
[185]   U286.ZN                                   Dangerous
[186]   U286.i_0                                  Dangerous
[187]   U286.i_1                                  Dangerous
[188]   U286.i_2                                  Dangerous
[189]   U287.I                                    Dangerous
[190]   U287.ZN                                   Dangerous
[191]   U288.A1                                   Dangerous
[192]   U288.A2                                   Dangerous
[193]   U288.ZN                                   Dangerous
[194]   U288.i_24                                 Dangerous
[195]   U289.A1                                   Dangerous
[196]   U289.A2                                   Dangerous
[197]   U289.B                                    Dangerous
[198]   U289.ZN                                   Dangerous
[199]   U289.i_0                                  Dangerous
[200]   U289.i_1                                  Dangerous
[201]   U290.I                                    Dangerous
[202]   U290.ZN                                   Dangerous
[203]   U291.A1                                   Dangerous
[204]   U291.A2                                   Dangerous
[205]   U291.ZN                                   Dangerous
[206]   U291.i_24                                 Dangerous
[207]   U292.A1                                   Dangerous
[208]   U292.A2                                   Dangerous
[209]   U292.B                                    Dangerous
[210]   U292.ZN                                   Dangerous
[211]   U292.i_0                                  Dangerous
[212]   U292.i_1                                  Dangerous
[213]   U293.I                                    Dangerous
[214]   U293.ZN                                   Dangerous
[215]   U294.A1                                   Dangerous
[216]   U294.A2                                   Dangerous
[217]   U294.ZN                                   Dangerous
[218]   U294.i_24                                 Dangerous
[219]   U295.A1                                   Dangerous
[220]   U295.A2                                   Dangerous
[221]   U295.B                                    Dangerous
[222]   U295.ZN                                   Dangerous
[223]   U295.i_0                                  Dangerous
[224]   U295.i_1                                  Dangerous
[225]   U296.I                                    Dangerous
[226]   U296.ZN                                   Dangerous
[227]   U297.A1                                   Dangerous
[228]   U297.A2                                   Dangerous
[229]   U297.ZN                                   Dangerous
[230]   U297.i_24                                 Dangerous
[231]   U298.A1                                   Dangerous
[232]   U298.A2                                   Dangerous
[233]   U298.B                                    Dangerous
[234]   U298.ZN                                   Dangerous
[235]   U298.i_0                                  Dangerous
[236]   U298.i_1                                  Dangerous
[237]   U299.I                                    Dangerous
[238]   U299.ZN                                   Dangerous
[239]   U300.A1                                   Dangerous
[240]   U300.A2                                   Dangerous
[241]   U300.ZN                                   Dangerous
[242]   U300.i_24                                 Dangerous
[243]   U301.A1                                   Dangerous
[244]   U301.A2                                   Dangerous
[245]   U301.B                                    Dangerous
[246]   U301.ZN                                   Dangerous
[247]   U301.i_0                                  Dangerous
[248]   U301.i_1                                  Dangerous
[249]   U302.I                                    Dangerous
[250]   U302.ZN                                   Dangerous
[251]   U303.A1                                   Dangerous
[252]   U303.A2                                   Dangerous
[253]   U303.ZN                                   Dangerous
[254]   U303.i_24                                 Dangerous
[255]   U304.A1                                   Dangerous
[256]   U304.A2                                   Dangerous
[257]   U304.B                                    Dangerous
[258]   U304.ZN                                   Dangerous
[259]   U304.i_0                                  Dangerous
[260]   U304.i_1                                  Dangerous
[261]   U305.I                                    Dangerous
[262]   U305.ZN                                   Dangerous
[263]   U306.A1                                   Dangerous
[264]   U306.A2                                   Dangerous
[265]   U306.ZN                                   Dangerous
[266]   U306.i_24                                 Dangerous
[267]   U307.A1                                   Dangerous
[268]   U307.A2                                   Dangerous
[269]   U307.B                                    Dangerous
[270]   U307.ZN                                   Dangerous
[271]   U307.i_0                                  Dangerous
[272]   U307.i_1                                  Dangerous
[273]   U308.I                                    Dangerous
[274]   U308.ZN                                   Dangerous
[275]   U309.A1                                   Dangerous
[276]   U309.A2                                   Dangerous
[277]   U309.ZN                                   Dangerous
[278]   U309.i_24                                 Dangerous
[279]   U310.A1                                   Dangerous
[280]   U310.A2                                   Dangerous
[281]   U310.B                                    Dangerous
[282]   U310.ZN                                   Dangerous
[283]   U310.i_0                                  Dangerous
[284]   U310.i_1                                  Dangerous
[285]   U311.A1                                   Dangerous
[286]   U311.A2                                   Dangerous
[287]   U311.B1                                   Dangerous
[288]   U311.B2                                   Dangerous
[289]   U311.ZN                                   Dangerous
[290]   U311.i_0                                  Dangerous
[291]   U311.i_1                                  Dangerous
[292]   U311.i_2                                  Dangerous
[293]   U312.I                                    Dangerous
