 
****************************************
Report : resources
Design : DSP_Unit_THREAD_POOL_SIZE6_accl_en1_replicate_accl_en1_multithreaded_accl_en0_SPM_NUM4_Addr_Width14_SIMD4_ACCL_NUM6_FU_NUM6_TPS_CEIL3_TPS_BUF_CEIL3_SPM_ADDR_WID3_SIMD_BITS2_Data_Width32_SIMD_Width128
Version: V-2023.12
Date   : Wed Sep 24 15:32:58 2025
****************************************


Resource Report for this hierarchy in file
        /home/g.vilarde/Klessydra/pulpino-klessydra/ips/FU_breakdown/DSP/RTL-DSP_Unit_syn.vhd
=============================================================================
| Cell           | Module         | Parameters | Contained Operations       |
| lt_x_56        | DW_cmp         | width=19   | lt_718_I48 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_57        | DW_cmp         | width=19   | lt_718_I49 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_58        | DW_cmp         | width=19   | lt_718_I50 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_59        | DW_cmp         | width=19   | lt_718_I51 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_60        | DW_cmp         | width=19   | lt_718_I52 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_61        | DW_cmp         | width=19   | lt_718_I53 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_62        | DW_cmp         | width=19   | lt_718_I54 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_63        | DW_cmp         | width=19   | lt_718_I55 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_64        | DW_cmp         | width=19   | lt_718_I56 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_65        | DW_cmp         | width=19   | lt_718_I57 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_66        | DW_cmp         | width=19   | lt_718_I58 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_67        | DW_cmp         | width=19   | lt_718_I59 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_68        | DW_cmp         | width=19   | lt_718_I60 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_69        | DW_cmp         | width=19   | lt_718_I61 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_70        | DW_cmp         | width=19   | lt_718_I62 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_71        | DW_cmp         | width=19   | lt_718_I63 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_72        | DW_cmp         | width=19   | lt_718_I64 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_73        | DW_cmp         | width=19   | lt_718_I65 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_74        | DW_cmp         | width=19   | lt_718_I66 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_75        | DW_cmp         | width=19   | lt_718_I67 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_76        | DW_cmp         | width=19   | lt_718_I68 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_77        | DW_cmp         | width=19   | lt_718_I69 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_78        | DW_cmp         | width=19   | lt_718_I70 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_79        | DW_cmp         | width=19   | lt_718_I71 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_80        | DW_cmp         | width=19   | lt_718_I72 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_81        | DW_cmp         | width=19   | lt_718_I73 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_82        | DW_cmp         | width=19   | lt_718_I74 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_83        | DW_cmp         | width=19   | lt_718_I75 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_84        | DW_cmp         | width=19   | lt_718_I76 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_85        | DW_cmp         | width=19   | lt_718_I77 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_86        | DW_cmp         | width=19   | lt_718_I78 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_87        | DW_cmp         | width=19   | lt_718_I79 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_88        | DW_cmp         | width=19   | lt_718_I80 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_89        | DW_cmp         | width=19   | lt_718_I81 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_90        | DW_cmp         | width=19   | lt_718_I82 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_91        | DW_cmp         | width=19   | lt_718_I83 (RTL-DSP_Unit_syn.vhd:718) |
