Version("1.1")
Date("09/23/25 11:31:44")
User("g.vilarde")
Tool("ZOIX")
Info("  Type:    Fault Coverage Report")
Info("  Version: V-2023.12 (64-bit, Nov 19 2023)")
Info("  Models:  All")
Info("  Classes: All")

FunctionalBlocks{
     1 design {
           1  DSP {F:47924}
    }
}
StrobeData{
    StrobeList{"strobe1"
        Pins{
            1 "DSP.dsp_except_data[31:0]";
            2 "DSP.state_DSP[1:0]";
            3 "DSP.dsp_we_word[1:0]";
            4 "DSP.dsp_sc_read_addr[27:0]";
            5 "DSP.dsp_to_sc[7:0]";
            6 "DSP.dsp_sc_data_write_wire[63:0]";
            7 "DSP.dsp_sc_write_addr[13:0]";
            8 "DSP.dsp_sci_we[3:0]";
            9 "DSP.dsp_sci_req[3:0]";
        }
    }
}

FaultList{

Total             ND              DD            PD             NC             NO Scope
----- -------------- --------------- ------------- -------------- -------------- -----
    8    6  (75.00%)     2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U5486
    8    6  (75.00%)     2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U5484
    8    6  (75.00%)     2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U5481
    8    6  (75.00%)     2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U5479
    8    6  (75.00%)     2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U5296
    8    6  (75.00%)     2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U5294
    8    6  (75.00%)     2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U5292
    8    6  (75.00%)     2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U5290
    8    6  (75.00%)     2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U5288
    8    6  (75.00%)     2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U5286
    8    6  (75.00%)     2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U5284
    8    6  (75.00%)     2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U5282
    8    6  (75.00%)     2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U5280
    8    6  (75.00%)     2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U5278
    8    6  (75.00%)     2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U5276
