=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     DSP      Jun 05 05:29:06 EDT 2026   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                              | Latches | Gates         | Nets   | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     1854 (1854) (0 property flop bits)   0 (0)     78854 (80805)   182896   35      44206       28722           0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[1]     SA0          0             2048   0           96452
[2]     SA1          0             3978   0           94522
[3]     Total        0             6026   0           190974


********************************************************************************************

---[ <SA0> ]----------------------------------------------------------------------
[104]   MULT_STG.U13848.X                                          Unknown
[105]   MULT_STG.U14065.A1                                         Unknown
[106]   MULT_STG.U14065.A2                                         Unknown
[107]   MULT_STG.U14065.B1                                         Unknown
[108]   MULT_STG.U14065.X                                          Unknown
[109]   MULT_STG.U14098.A1                                         Unknown
[110]   MULT_STG.U14098.A2                                         Unknown
[111]   MULT_STG.U14098.B1                                         Unknown
[112]   MULT_STG.U14098.X                                          Unknown
[113]   MULT_STG.U14954.A1                                         Unknown
[114]   MULT_STG.U14954.A2                                         Unknown
[115]   MULT_STG.U14954.B1                                         Unknown
[116]   MULT_STG.U14954.X                                          Unknown
[117]   MULT_STG.U15294.A1                                         Unknown
[118]   MULT_STG.U15294.A2                                         Unknown
[119]   MULT_STG.U15294.B1                                         Unknown
[120]   MULT_STG.U15294.X                                          Unknown
[121]   ACCUM_STG.U486.A1                                          Unknown
[122]   ACCUM_STG.U486.A2                                          Unknown
[123]   ACCUM_STG.U486.B1                                          Unknown
[124]   ACCUM_STG.U486.X                                           Unknown
[125]   ACCUM_STG.U502.A1                                          Unknown
[126]   ACCUM_STG.U502.A2                                          Unknown
[127]   ACCUM_STG.U502.B1                                          Unknown
[128]   ACCUM_STG.U502.X                                           Unknown
[129]   ACCUM_STG.U517.A1                                          Unknown
[130]   ACCUM_STG.U517.A2                                          Unknown
[131]   ACCUM_STG.U517.B1                                          Unknown
[132]   ACCUM_STG.U517.X                                           Unknown
[133]   ACCUM_STG.U531.A1                                          Unknown
[134]   ACCUM_STG.U531.A2                                          Unknown
[135]   ACCUM_STG.U531.B1                                          Unknown
[136]   ACCUM_STG.U531.X                                           Unknown
[137]   ACCUM_STG.U548.A1                                          Unknown
[138]   ACCUM_STG.U548.A2                                          Unknown
[139]   ACCUM_STG.U548.B1                                          Unknown
[140]   ACCUM_STG.U548.X                                           Unknown
[141]   ACCUM_STG.U563.A1                                          Unknown
[142]   ACCUM_STG.U563.A2                                          Unknown
[143]   ACCUM_STG.U563.B1                                          Unknown
[144]   ACCUM_STG.U563.X                                           Unknown
[145]   ACCUM_STG.U585.A1                                          Unknown
[146]   ACCUM_STG.U585.A2                                          Unknown
[147]   ACCUM_STG.U585.B1                                          Unknown
[148]   ACCUM_STG.U585.X                                           Unknown
[149]   ACCUM_STG.U647.A1                                          Unknown
[150]   ACCUM_STG.U647.A2                                          Unknown
[151]   ACCUM_STG.U647.B1                                          Unknown
[152]   ACCUM_STG.U647.X                                           Unknown
[153]   ACCUM_STG.U661.A1                                          Unknown
[154]   ACCUM_STG.U661.A2                                          Unknown
[155]   ACCUM_STG.U661.B1                                          Unknown
[156]   ACCUM_STG.U661.X                                           Unknown
[157]   ACCUM_STG.U679.A1                                          Unknown
[158]   ACCUM_STG.U679.A2                                          Unknown
[159]   ACCUM_STG.U679.B1                                          Unknown
[160]   ACCUM_STG.U679.X                                           Unknown
[161]   ACCUM_STG.U693.A1                                          Unknown
[162]   ACCUM_STG.U693.A2                                          Unknown
[163]   ACCUM_STG.U693.B1                                          Unknown
[164]   ACCUM_STG.U693.X                                           Unknown
[165]   ACCUM_STG.U709.A1                                          Unknown
[166]   ACCUM_STG.U709.A2                                          Unknown
[167]   ACCUM_STG.U709.B1                                          Unknown
[168]   ACCUM_STG.U709.X                                           Unknown
[169]   ACCUM_STG.U723.A1                                          Unknown
[170]   ACCUM_STG.U723.A2                                          Unknown
[171]   ACCUM_STG.U723.B1                                          Unknown
[172]   ACCUM_STG.U723.X                                           Unknown
[173]   ACCUM_STG.U924.A1                                          Unknown
[174]   ACCUM_STG.U924.A2                                          Unknown
[175]   ACCUM_STG.U924.B1                                          Unknown
[176]   ACCUM_STG.U924.X                                           Unknown
[177]   ACCUM_STG.U938.A1                                          Unknown
[178]   ACCUM_STG.U938.A2                                          Unknown
[179]   ACCUM_STG.U938.B1                                          Unknown
[180]   ACCUM_STG.U938.X                                           Unknown
[181]   ACCUM_STG.U953.A1                                          Unknown
